symbol,session,n_ticks_sampled,spread_median_price,spread_p95_price,spread_median_pts,spread_p95_pts
US100,Asia,137869,0.7,1.2,70.0,120.0
US100,London,138707,0.7,0.9,70.0,90.0
US100,NewYork,226066,0.7,0.7,70.0,70.0
US100,Rollover,9309,0.7,1.5,70.0,150.0
US100,ALL,511951,0.7,0.9,70.0,90.0
US500,Asia,127172,0.31,0.31,31.0,31.0
US500,London,113370,0.31,0.31,31.0,31.0
US500,NewYork,170493,0.31,0.31,31.0,31.0
US500,Rollover,8674,0.31,0.31,31.0,31.0
US500,ALL,419709,0.31,0.31,31.0,31.0
XAUUSD,Asia,706029,0.17,0.18,17.0,18.0
XAUUSD,London,551355,0.15,0.15,15.0,15.0
XAUUSD,NewYork,805353,0.15,0.3,15.0,30.0
XAUUSD,Rollover,41820,0.47,0.58,47.0,58.0
XAUUSD,ALL,2104557,0.15,0.28,15.0,28.0
XAGUSD,Asia,346933,0.027,0.037,27.0,37.0
XAGUSD,London,271186,0.025,0.036,25.0,36.0
XAGUSD,NewYork,474245,0.025,0.04,25.0,40.0
XAGUSD,Rollover,11340,0.04,0.05,40.0,50.0
XAGUSD,ALL,1103704,0.025,0.04,25.0,40.0
