symbol,read_utc,typical_spread_price,worst_spread_price,swap_long_annual_pct,swap_short_annual_pct,swap_mode,swap_3x_weekday,point,digits,contract_size,min_lot,lot_step,price_at_read,n_ticks_sampled,tick_window_days,spread_grade
USDCHF,2026-09-22T12:40:11+00:00,3.999999999992898e-05,4.999999999999449e-05,2.3652,-5.6346,1,3,1e-05,5,100000.0,0.01,0.01,0.81944,16421,7,screening (7d)
AUDCHF,2026-09-22T12:44:31+00:00,6.0000000000060005e-05,7.00000000000145e-05,2.7061,-6.2014,1,3,1e-05,5,100000.0,0.01,0.01,0.58269,15412,7,screening (7d)
AUDNZD,2026-09-22T12:45:32+00:00,8.999999999992347e-05,0.0001300000000001,0.7674,-2.9433,1,3,1e-05,5,100000.0,0.01,0.01,1.24133,31282,7,screening (7d)
CADCHF,2026-09-22T12:46:01+00:00,4.999999999999449e-05,7.00000000000145e-05,1.2383,-3.7838,1,3,1e-05,5,100000.0,0.01,0.01,0.58361,13974,7,screening (7d)
CADJPY,2026-09-22T12:46:27+00:00,0.0060000000000002,0.0109999999999956,0.541,-2.5454,1,3,0.001,3,100000.0,0.01,0.01,111.994,26562,7,screening (7d)
CHFJPY,2026-09-22T12:46:36+00:00,0.0150000000000147,0.0199999999999818,-2.1799,0.4033,1,3,0.001,3,100000.0,0.01,0.01,191.889,30342,7,screening (7d)
EURNOK,2026-09-22T12:47:21+00:00,0.0023999999999997,0.0092800000000003,-4.5647,-0.5224,1,3,1e-05,5,100000.0,0.01,0.01,10.79565,36665,7,screening (7d)
EURPLN,2026-09-22T12:50:02+00:00,0.0008300000000005,0.0013100000000001,-2.6223,0.7932,1,3,1e-05,5,100000.0,0.01,0.01,4.34837,14120,7,screening (7d)
EURSEK,2026-09-22T12:50:50+00:00,0.0017600000000008,0.0050899999999995,-1.8144,-3.0531,1,3,1e-05,5,100000.0,0.01,0.01,11.24715,27776,7,screening (7d)
GBPCAD,2026-09-22T12:52:17+00:00,7.999999999985796e-05,0.00011,0.7532,-2.7189,1,3,1e-05,5,100000.0,0.01,0.01,1.87542,78257,7,screening (7d)
GBPCHF,2026-09-22T12:52:26+00:00,7.00000000000145e-05,0.0001299999999999,2.399,-5.7176,1,3,1e-05,5,100000.0,0.01,0.01,1.09546,27480,7,screening (7d)
GBPNOK,2026-09-22T12:53:00+00:00,0.0037700000000011,0.016281,-2.99,-2.2166,1,3,1e-05,5,100000.0,0.01,0.01,12.58696,22360,7,screening (7d)
GBPNZD,2026-09-22T12:54:33+00:00,0.00042,0.0006399999999997,-2.2781,-4.3153,1,3,1e-05,5,100000.0,0.01,0.01,2.33281,54790,7,screening (7d)
GBPSEK,2026-09-22T12:55:07+00:00,0.0043000000000006,0.0286960000000008,-0.2844,-4.6972,1,3,1e-05,5,100000.0,0.01,0.01,13.11533,13247,7,screening (7d)
NZDJPY,2026-09-22T12:57:54+00:00,0.007000000000005,0.0120000000000004,0.9076,-3.1522,1,3,0.001,3,100000.0,0.01,0.01,90.085,28476,7,screening (7d)
NZDUSD,2026-09-22T12:58:46+00:00,7.00000000000145e-05,8.000000000008001e-05,-4.1494,-2.046,1,3,1e-05,5,100000.0,0.01,0.01,0.57265,23089,7,screening (7d)
USDCNH,2026-09-22T12:58:49+00:00,0.0002199999999996,0.0003200000000003,1.2846,-3.8055,1,3,1e-05,5,100000.0,0.01,0.01,6.69965,8018,7,screening (7d)
USDMXN,2026-09-22T12:58:53+00:00,0.0037400000000005,0.0076199999999992,-3.4808,1.0582,1,3,1e-05,5,100000.0,0.01,0.01,17.24659,27550,7,screening (7d)
USDNOK,2026-09-22T13:00:27+00:00,0.0022799999999989,0.0050900000000001,-2.6578,-1.8912,1,3,1e-05,5,100000.0,0.01,0.01,9.4263,60670,7,screening (7d)
USDPLN,2026-09-22T13:01:55+00:00,0.0017899999999997,0.0051999999999998,-0.7722,-0.4126,1,3,1e-05,5,100000.0,0.01,0.01,3.79551,31031,7,screening (7d)
USDZAR,2026-09-22T13:04:56+00:00,0.0021999999999984,0.002600000000001,-5.3945,1.6238,1,3,1e-05,5,100000.0,0.01,0.01,16.22519,39289,7,screening (7d)
XAGEUR,2026-09-22T13:06:15+00:00,0.0380000000000038,0.0529999999999972,-4.0993,0.947,1,3,0.001,3,5000.0,0.01,0.01,57.43,58801,7,screening (7d)
XAGUSD,2026-09-22T13:06:47+00:00,0.0250000000000056,0.039999999999992,-5.7758,1.7533,1,3,0.001,3,5000.0,0.01,0.01,65.786,64722,7,screening (7d)
XAGUSDmicro,2026-09-22T13:07:49+00:00,0.0250000000000056,0.039999999999992,-5.7741,1.7528,1,3,0.001,3,50.0,0.01,0.01,65.805,64722,7,screening (7d)
XPDUSD,2026-09-22T13:12:49+00:00,2.5,4.679999999999836,-5.253,0.8491,1,3,0.01,2,100.0,0.01,0.01,1315.34,8139,7,screening (7d)
XPTUSD,2026-09-22T13:13:24+00:00,0.6300000000001091,1.929999999999916,-5.9356,1.069,1,3,0.01,2,100.0,0.01,0.01,1823.28,37894,7,screening (7d)
Crash 1000 Index,2026-09-22T13:16:11+00:00,0.0590000000001964,0.0609999999996944,-18.0,-18.0,5,7,0.0001,4,1.0,0.2,0.01,5954.0165,29282,7,screening (7d)
Step Index,2026-09-22T13:16:33+00:00,0.1000000000003638,0.1000000000003638,-1.0,-1.0,5,7,0.1,1,10.0,0.1,0.01,7468.9,30228,7,screening (7d)
Volatility 100 Index,2026-09-22T13:16:47+00:00,0.2400000000000091,0.2400000000000091,-10.0,-10.0,5,7,0.01,2,1.0,1.0,0.01,588.13,14738,7,screening (7d)
Volatility 75 Index,2026-09-22T13:18:19+00:00,17.080000000001746,17.080000000001746,-7.5,-7.5,5,7,0.01,2,1.0,0.01,0.001,42903.69,15107,7,screening (7d)
AUDCAD,2026-09-22T13:22:11+00:00,5.999999999994898e-05,8.000000000008001e-05,1.1184,-3.377,1,3,1e-05,5,100000.0,0.01,0.01,0.99869,31299,7,screening (7d)
AUDJPY,2026-09-22T13:22:13+00:00,0.006999999999990791,0.01099999999999568,2.0954,-5.1764,1,3,0.001,3,100000.0,0.01,0.01,111.832,30623,7,screening (7d)
AUDUSD,2026-09-22T13:22:23+00:00,3.0000000000085514e-05,4.999999999999449e-05,0.0462,-1.2425,1,3,1e-05,5,100000.0,0.01,0.01,0.71091,42383,7,screening (7d)
BTCUSD,2026-09-22T13:22:32+00:00,2.4239999999990687,4.94199999999546,-20.0,-20.0,5,1,0.001,3,1.0,0.01,0.01,85879.886,162922,7,screening (7d)
Boom 1000 Index,2026-09-22T13:22:33+00:00,0.16300000000046566,0.16500000000087311,-36.0,-36.0,5,7,0.0001,4,1.0,0.2,0.01,16415.349,29882,7,screening (7d)
ETHUSD,2026-09-22T13:22:34+00:00,0.580000000000382,0.7309999999997672,-15.0,-15.0,5,1,1e-05,5,1.0,0.1,0.01,2746.685,38204,7,screening (7d)
EURAUD,2026-09-22T13:22:47+00:00,8.000000000008001e-05,0.00011999999999989797,-3.289,1.0601,1,3,1e-05,5,100000.0,0.01,0.01,1.61138,37452,7,screening (7d)
EURCAD,2026-09-22T13:22:51+00:00,6.000000000017103e-05,0.00010000000000021103,-0.5489,-0.7734,1,3,1e-05,5,100000.0,0.01,0.01,1.60932,38860,7,screening (7d)
EURCHF,2026-09-22T13:22:52+00:00,4.0000000000040004e-05,7.00000000000145e-05,1.3289,-3.8896,1,3,1e-05,5,100000.0,0.01,0.01,0.93934,18688,7,screening (7d)
EURGBP,2026-09-22T13:23:00+00:00,2.999999999997449e-05,4.999999999999449e-05,-2.5282,0.6895,1,3,1e-05,5,100000.0,0.01,0.01,0.85757,20792,7,screening (7d)
EURJPY,2026-09-22T13:23:07+00:00,0.0049999999999954525,0.00899999999998613,1.0126,-1.6688,1,3,0.001,3,100000.0,0.01,0.01,180.224,45173,7,screening (7d)
EURNZD,2026-09-22T13:23:11+00:00,0.0014999999999998348,0.0015000000000000568,-1.084,-0.4015,1,3,1e-05,5,100000.0,0.01,0.01,2.00007,60746,7,screening (7d)
EURUSD,2026-09-22T13:23:17+00:00,2.999999999997449e-05,4.0000000000040004e-05,-2.3833,0.7456,1,3,1e-05,5,100000.0,0.01,0.01,1.14553,38348,7,screening (7d)
GBPAUD,2026-09-22T13:23:22+00:00,0.00010000000000021103,0.00018999999999991246,-1.2822,0.0525,1,3,1e-05,5,100000.0,0.01,0.01,1.87886,30639,7,screening (7d)
GBPJPY,2026-09-22T13:24:33+00:00,0.00899999999998613,0.01300000000000523,0.8685,-3.288,1,3,0.001,3,100000.0,0.01,0.01,210.139,107438,7,screening (7d)
GBPUSD,2026-09-22T13:24:44+00:00,4.0000000000040004e-05,5.999999999994898e-05,-0.511,-0.5711,1,3,1e-05,5,100000.0,0.01,0.01,1.33571,65563,7,screening (7d)
NZDCAD,2026-09-22T13:24:45+00:00,7.00000000000145e-05,9.00000000000345e-05,-0.3493,-1.2476,1,3,1e-05,5,100000.0,0.01,0.01,0.80452,22883,7,screening (7d)
USDCAD,2026-09-22T13:24:46+00:00,4.0000000000040004e-05,5.0000000000105516e-05,0.7638,-2.5538,1,4,1e-05,5,100000.0,0.01,0.01,1.40495,54311,7,screening (7d)
USDJPY,2026-09-22T13:24:47+00:00,0.003999999999990678,0.007000000000005002,1.1601,-3.2251,1,3,0.001,3,100000.0,0.01,0.01,157.315,85505,7,screening (7d)
USDSEK,2026-09-22T13:24:48+00:00,0.0019799999999996487,0.004590000000000316,0.0089,-4.3631,1,3,1e-05,5,100000.0,0.01,0.01,9.82201,52958,7,screening (7d)
XAUEUR,2026-09-22T13:24:49+00:00,0.21000000000003638,0.2699999999999818,-3.9666,1.2411,1,3,0.01,2,100.0,0.01,0.01,3781.92,79101,7,screening (7d)
XAUUSD,2026-09-22T13:24:51+00:00,0.1500000000005457,0.3400000000001455,-3.7913,1.685,1,3,0.01,2,100.0,0.01,0.01,4332.34,129216,7,screening (7d)
