mode,direction,sharpe,cagr,max_dd,calmar,excess_sharpe,trades_per_week,in_market
blend5050,long_only,0.922,0.0808,-0.167,0.484,0.632,0.87,0.278
blend5050,both,0.757,0.0875,-0.215,0.407,0.467,1.81,0.512
dynamic,long_only,0.714,0.067,-0.174,0.385,0.424,0.92,0.343
dynamic,both,0.52,0.0581,-0.251,0.231,0.23,1.79,0.567
dma,long_only,0.678,0.0653,-0.276,0.237,0.388,0.42,0.379
dma,both,0.432,0.0528,-0.408,0.129,0.142,0.87,0.757
slow_only,long_only,0.762,0.0735,-0.234,0.314,0.473,0.59,0.369
slow_only,both,0.562,0.071,-0.297,0.239,0.272,1.22,0.717
fast_only,long_only,0.715,0.0658,-0.171,0.385,0.425,1.13,0.329
fast_only,both,0.629,0.0769,-0.251,0.306,0.339,2.09,0.62
