symbol,window,exit,n,expectancy_r,profit_factor,win_rate,sharpe,max_dd_r
XAUUSD,selection,E0_fixed,400,0.1488,1.35,57.8,1.233,-9.1
XAUUSD,selection,E1_trail,172,0.4674,1.989,41.9,1.15,-8.3
XAUUSD,selection,E2_scale_trail,248,0.2163,1.498,56.9,1.198,-8.1
XAUUSD,selection,E3_be_target,262,0.2604,1.572,35.9,1.281,-9.1
XAUUSD,selection,E4_time,412,0.148,1.356,58.0,1.263,-8.4
XAUUSD,unseen,E0_fixed,454,0.0363,1.075,52.4,0.248,-14.8
XAUUSD,unseen,E1_trail,234,0.1318,1.253,35.9,0.377,-13.7
XAUUSD,unseen,E2_scale_trail,304,0.0073,1.014,47.7,0.036,-22.3
XAUUSD,unseen,E3_be_target,318,0.075,1.158,27.7,0.342,-17.2
XAUUSD,unseen,E4_time,487,0.0315,1.069,52.2,0.23,-15.8
BTCUSD,selection,E0_fixed,492,0.1296,1.298,56.5,1.188,-16.0
BTCUSD,selection,E1_trail,235,0.3334,1.741,42.1,1.164,-14.4
BTCUSD,selection,E2_scale_trail,321,0.2077,1.479,56.7,1.296,-14.0
BTCUSD,selection,E3_be_target,336,0.2376,1.595,31.8,1.404,-15.0
BTCUSD,selection,E4_time,553,0.1101,1.269,56.1,1.121,-16.9
BTCUSD,unseen,E0_fixed,535,-0.0727,0.883,56.6,-0.412,-146.9
BTCUSD,unseen,E1_trail,243,-0.0698,0.924,38.7,-0.151,-140.1
BTCUSD,unseen,E2_scale_trail,323,-0.1241,0.841,52.0,-0.42,-143.5
BTCUSD,unseen,E3_be_target,366,-0.0802,0.894,34.4,-0.29,-142.8
BTCUSD,unseen,E4_time,609,-0.0832,0.86,55.7,-0.525,-158.7
