symbol,phase,field,bars,mismatches,match_rate,max_abs_diff
XAUUSD,warm-up,slow_sig,2690,0,1.0,0.0
XAUUSD,warm-up,fast_sig,2690,0,1.0,0.0
XAUUSD,warm-up,rv,2690,0,1.0,4.997554627073075e-11
XAUUSD,warm-up,thr,2690,1094,0.593309,0.0005460407390241138
XAUUSD,warm-up,regime_flat,2690,110,0.959108,1.0
XAUUSD,warm-up,vol_scale,2690,0,1.0,4.998758185159602e-09
XAUUSD,warm-up,pos_raw,2690,43,0.984015,0.8594153164608958
XAUUSD,steady state,slow_sig,14234,0,1.0,0.0
XAUUSD,steady state,fast_sig,14234,0,1.0,0.0
XAUUSD,steady state,rv,14234,0,1.0,4.9997799303480583e-11
XAUUSD,steady state,thr,14234,0,1.0,4.996264990272947e-11
XAUUSD,steady state,regime_flat,14234,0,1.0,0.0
XAUUSD,steady state,vol_scale,14234,0,1.0,4.999582969844596e-09
XAUUSD,steady state,pos_raw,14234,0,1.0,4.9964474779784496e-09
BTCUSD,warm-up,slow_sig,2193,0,1.0,0.0
BTCUSD,warm-up,fast_sig,2193,0,1.0,0.0
BTCUSD,warm-up,rv,2193,0,1.0,4.995981406352712e-11
BTCUSD,warm-up,thr,2193,1357,0.381213,0.05283814456624208
BTCUSD,warm-up,regime_flat,2193,41,0.981304,1.0
BTCUSD,warm-up,vol_scale,2193,0,1.0,4.999092251267712e-09
BTCUSD,warm-up,pos_raw,2193,13,0.994072,0.09160914631806515
BTCUSD,steady state,slow_sig,13962,0,1.0,0.0
BTCUSD,steady state,fast_sig,13962,0,1.0,0.0
BTCUSD,steady state,rv,13962,0,1.0,4.999967280483464e-11
BTCUSD,steady state,thr,13962,0,1.0,4.99563203304465e-11
BTCUSD,steady state,regime_flat,13962,0,1.0,0.0
BTCUSD,steady state,vol_scale,13962,0,1.0,4.999889918755329e-09
BTCUSD,steady state,pos_raw,13962,0,1.0,4.9980115601755415e-09
