symbol,years,bars,sharpe,cagr,vol,max_dd,calmar,bench_sharpe,bench_cagr,excess_sharpe,beats_bh,windows,window_hits,window_hit_rate,trades_per_week,in_market,group,kind
BTCUSD,6.0,13149,0.84,0.0744,0.0902,-0.14,0.533,0.551,0.0467,0.29,True,3,2,0.667,1.34,0.305,Crypto,real
ETHUSD,6.0,13149,0.89,0.0797,0.0907,-0.109,0.728,0.639,0.0553,0.251,True,3,2,0.667,1.47,0.305,Crypto,real
AUDJPY,6.0,9655,0.328,0.0277,0.0978,-0.168,0.165,0.827,0.079,-0.499,False,3,0,0.0,1.37,0.372,Forex Major,real
AUDUSD,6.0,9656,-0.377,-0.0329,0.0803,-0.322,-0.102,0.03,-0.0008,-0.407,False,3,1,0.333,1.19,0.27,Forex Major,real
EURAUD,6.0,9656,-0.463,-0.0396,0.0803,-0.244,-0.163,-0.405,-0.0351,-0.058,False,3,1,0.333,1.19,0.234,Forex Major,real
EURCAD,6.0,9656,-0.419,-0.035,0.0777,-0.243,-0.144,0.018,-0.0016,-0.438,False,3,1,0.333,1.37,0.263,Forex Major,real
EURCHF,6.0,9654,-0.349,-0.024,0.0636,-0.223,-0.107,-0.147,-0.0113,-0.203,False,3,1,0.333,1.01,0.207,Forex Major,real
EURGBP,6.0,9649,-0.849,-0.0533,0.0623,-0.296,-0.18,-0.609,-0.0391,-0.24,False,3,1,0.333,1.12,0.187,Forex Major,real
EURJPY,6.0,9651,0.115,0.0066,0.106,-0.222,0.03,0.874,0.0908,-0.759,False,3,0,0.0,1.37,0.381,Forex Major,real
EURUSD,6.0,9656,-0.444,-0.0326,0.0693,-0.262,-0.124,-0.344,-0.0259,-0.1,False,3,1,0.333,0.87,0.211,Forex Major,real
GBPAUD,6.0,9656,-0.066,-0.0089,0.0834,-0.198,-0.045,-0.004,-0.0038,-0.062,False,3,1,0.333,1.13,0.281,Forex Major,real
GBPJPY,6.0,9656,0.058,0.0006,0.1037,-0.25,0.002,0.909,0.093,-0.852,False,3,0,0.0,1.39,0.418,Forex Major,real
GBPUSD,6.0,9656,-0.339,-0.0282,0.0759,-0.274,-0.103,0.064,0.002,-0.403,False,3,0,0.0,1.33,0.264,Forex Major,real
USDCAD,6.0,9656,-0.155,-0.0147,0.0764,-0.23,-0.064,0.293,0.0197,-0.448,False,3,0,0.0,1.06,0.245,Forex Major,real
USDCHF,6.0,9656,0.37,0.0255,0.0758,-0.157,0.162,0.107,0.0053,0.263,True,3,1,0.333,0.92,0.225,Forex Major,real
USDJPY,6.0,9656,0.381,0.0372,0.113,-0.166,0.223,0.887,0.0983,-0.506,False,3,0,0.0,1.3,0.403,Forex Major,real
AUDCAD,6.0,9650,-0.527,-0.042,0.0759,-0.291,-0.145,0.282,0.0187,-0.809,False,3,0,0.0,1.11,0.24,Forex Minor,real
AUDCHF,6.0,9648,-0.215,-0.0201,0.0796,-0.272,-0.074,0.112,0.0058,-0.328,False,3,1,0.333,0.99,0.266,Forex Minor,real
AUDNZD,6.0,9649,0.193,0.012,0.0771,-0.154,0.078,0.649,0.0481,-0.456,False,3,1,0.333,1.14,0.33,Forex Minor,real
CADCHF,6.0,9656,-0.352,-0.0288,0.0752,-0.254,-0.114,-0.164,-0.0151,-0.187,False,3,1,0.333,1.11,0.227,Forex Minor,real
CADJPY,6.0,9656,0.21,0.0164,0.1028,-0.254,0.064,0.698,0.0687,-0.488,False,3,1,0.333,1.32,0.376,Forex Minor,real
CHFJPY,6.0,9629,0.397,0.0358,0.1017,-0.125,0.287,0.844,0.084,-0.447,False,3,1,0.333,1.17,0.378,Forex Minor,real
EURNOK,6.0,9655,-0.558,-0.0451,0.0773,-0.279,-0.162,-0.498,-0.0407,-0.061,False,3,1,0.333,1.08,0.23,Forex Minor,real
EURNZD,6.0,9656,-0.721,-0.0607,0.0822,-0.318,-0.191,0.172,0.0108,-0.893,False,3,0,0.0,1.25,0.265,Forex Minor,real
EURPLN,6.0,9656,-0.562,-0.0428,0.0732,-0.296,-0.145,-0.459,-0.0357,-0.103,False,3,1,0.333,1.18,0.216,Forex Minor,real
EURSEK,6.0,9655,-0.212,-0.0207,0.0826,-0.184,-0.113,-0.049,-0.0074,-0.164,False,3,0,0.0,1.22,0.29,Forex Minor,real
GBPCAD,6.0,9656,-0.168,-0.0167,0.0807,-0.22,-0.076,0.371,0.0271,-0.539,False,3,1,0.333,1.21,0.302,Forex Minor,real
GBPCHF,6.0,9656,-0.191,-0.0165,0.0731,-0.25,-0.066,0.208,0.0126,-0.398,False,3,1,0.333,1.15,0.255,Forex Minor,real
GBPNOK,6.0,9656,-0.525,-0.0457,0.0826,-0.274,-0.167,-0.178,-0.018,-0.347,False,3,1,0.333,0.99,0.267,Forex Minor,real
GBPNZD,6.0,9652,-0.204,-0.021,0.0862,-0.155,-0.136,0.165,0.0106,-0.369,False,3,0,0.0,1.24,0.314,Forex Minor,real
GBPSEK,6.0,9656,-0.093,-0.0117,0.0863,-0.192,-0.061,0.305,0.0229,-0.398,False,3,1,0.333,1.24,0.324,Forex Minor,real
NZDCAD,6.0,9656,-0.903,-0.0634,0.0698,-0.338,-0.188,-0.233,-0.0185,-0.67,False,3,1,0.333,0.92,0.197,Forex Minor,real
NZDJPY,6.0,9656,-0.192,-0.0228,0.0963,-0.264,-0.086,0.541,0.0486,-0.733,False,3,0,0.0,1.55,0.356,Forex Minor,real
NZDUSD,6.0,9655,-0.743,-0.0538,0.071,-0.304,-0.177,-0.6,-0.0441,-0.143,False,3,2,0.667,0.95,0.204,Forex Minor,real
USDCNH,6.0,9656,0.365,0.0202,0.0596,-0.156,0.129,0.25,0.0132,0.115,True,3,2,0.667,1.14,0.218,Forex Minor,real
USDMXN,6.0,9656,-0.076,-0.0086,0.0758,-0.2,-0.043,-0.552,-0.0437,0.476,True,3,2,0.667,0.71,0.162,Forex Minor,real
USDNOK,6.0,9656,-0.183,-0.017,0.0774,-0.18,-0.094,-0.137,-0.0135,-0.046,False,3,2,0.667,1.02,0.232,Forex Minor,real
USDPLN,6.0,9656,0.064,0.002,0.075,-0.223,0.009,-0.028,-0.0049,0.093,True,3,2,0.667,0.95,0.205,Forex Minor,real
USDSEK,6.0,9655,-0.146,-0.0155,0.0833,-0.255,-0.061,0.212,0.0143,-0.358,False,3,0,0.0,1.14,0.261,Forex Minor,real
USDZAR,6.0,9656,-0.346,-0.0295,0.0778,-0.29,-0.102,-0.367,-0.0311,0.02,True,3,1,0.333,1.22,0.238,Forex Minor,real
XAGEUR,6.0,9590,0.458,0.036,0.0852,-0.222,0.162,0.543,0.0436,-0.085,False,3,2,0.667,1.18,0.275,Metals,real
XAGUSD,6.0,9579,0.41,0.0317,0.085,-0.17,0.186,0.474,0.0374,-0.064,False,3,2,0.667,0.96,0.276,Metals,real
XAGUSDmicro,6.0,9579,0.41,0.0318,0.085,-0.17,0.187,0.474,0.0374,-0.064,False,3,2,0.667,0.96,0.276,Metals,real
XAUEUR,6.0,9590,1.349,0.1384,0.0997,-0.157,0.879,0.703,0.0673,0.646,True,3,3,1.0,1.15,0.338,Metals,real
XAUUSD,6.0,9590,1.463,0.1456,0.0961,-0.102,1.425,0.651,0.0596,0.812,True,3,2,0.667,0.96,0.308,Metals,real
XPDUSD,6.0,9582,-0.614,-0.0456,0.0718,-0.332,-0.137,-0.138,-0.0124,-0.476,False,3,0,0.0,1.09,0.19,Metals,real
XPTUSD,6.0,9580,-0.312,-0.0269,0.0779,-0.288,-0.093,0.339,0.0237,-0.651,False,3,0,0.0,1.26,0.224,Metals,real
Boom 1000 Index,6.0,13147,-0.8,-0.0607,0.0749,-0.357,-0.17,-0.846,-0.0642,0.047,True,3,1,0.333,1.84,0.241,Crash Boom Indices,synthetic
Crash 1000 Index,6.0,13150,-0.26,-0.021,0.0718,-0.151,-0.14,-1.066,-0.0761,0.806,True,3,3,1.0,1.14,0.216,Crash Boom Indices,synthetic
Step Index,6.0,13150,-1.032,-0.0653,0.0635,-0.336,-0.194,-0.826,-0.053,-0.207,False,3,1,0.333,1.38,0.173,Step Indices,synthetic
Volatility 100 Index,6.0,13150,0.334,0.0218,0.0724,-0.132,0.165,0.103,0.0049,0.231,True,3,1,0.333,1.48,0.23,Volatility Indices,synthetic
Volatility 75 Index,6.0,13150,0.005,-0.0019,0.0668,-0.174,-0.011,-0.211,-0.0162,0.216,True,3,2,0.667,1.26,0.194,Volatility Indices,synthetic
